ticker,cik
JILL,0001687932
JJSF,0000785956
JMSB,0001710482
JOBY,0001819848
JOE,0000745308
JOUT,0000788329
JRVR,0001620459
JXN,0001822993
JYNT,0001612630
KAI,0000886346
KALU,0000811596
KALV,0001348911
KBH,0000795266
KE,0001606757
KELYA,0000055135
KFRC,0000930420
KFS,0001072627
KFY,0000056679
KG,0002055116
KGEI,0001477081
KGS,0001767042
KIDS,0001425450
KINS,0000033992
KLC,0001873529
KLIC,0000056978
KLTR,0001432133
KMT,0000055242
KMTS,0001877184
KN,0001587523
KNF,0001955520
KNTK,0001692787
KOD,0001468748
KODK,0000031235
KOP,0001315257
KOPN,0000771266
KOS,0001509991
KREF,0001631596
KRG,0001286043
KRMD,0000704440
KRNY,0001617242
KRO,0001257640
KROS,0001664710
KRRO,0001703647
KRT,0001758021
KRUS,0001772177
KRYS,0001711279
KSS,0000885639
KTB,0001760965
KTOS,0001069258
KULR,0001662684
KURA,0001422143
KW,0001408100
KWR,0000081362
KYMR,0001815442
LAB,0001162194
LADR,0001577670
LAKE,0000798081
LAND,0001495240
LARK,0001141688
LASR,0001124796
LAUR,0000912766
LAW,0001625641
LBRT,0001694028
LBRX,0001691082
LC,0001409970
LCII,0000763744
LCNB,0001074902
LDI,0001831631
LE,0000799288
LEG,0000058492
LEGH,0001436208
LENZ,0001815776
LEU,0001065059
LFCR,0001005286
LFMD,0000948320
LFST,0001845257
LFT,0001547546
LFVN,0000849146
LGIH,0001580670
LGN,0002052568
LGND,0000886163
LIF,0001581760
LILA,0001712184
LILAK,0001712184
LINC,0001286613
LIND,0001512499
LION,0002052959
LIVN,0001639691
LKFN,0000721994
LMAT,0001158895
LMB,0001606163
LMND,0001691421
LMNR,0001342423
LMRI,0002071288
LNN,0000836157
LNSR,0001320350
LNTH,0001521036
LOB,0001462120
LOCO,0001606366
LOVE,0001701758
LPG,0001596993
LPRO,0001806201
LQDA,0001819576
LQDT,0001235468
LRMR,0001374690
LRN,0001157408
LTBR,0001084554
LTC,0000887905
LTH,0001869198
LUCD,0001799011
LUMN,0000018926
LUNG,0001127537
LUNR,0001844452
LVWR,0001898795
LWAY,0000814586
LXEO,0001907108
LXFR,0001096056
LXP,0000910108
LXU,0000060714
LYTS,0000763532
LZ,0001286139
LZB,0000057131
LZM,0001958217
MAC,0000912242
MAGN,0000041719
MAMA,0001520358
MARA,0001507605
MASS,0001555279
MATV,0001000623
MATW,0000063296
MATX,0000003453
MAX,0001818383
MAZE,0001842295
MBC,0001941365
MBI,0000814585
MBIN,0001629019
MBUU,0001590976
MBWM,0001042729
MBX,0001776111
MC,0001596967
MCB,0001476034
MCBS,0001747068
MCFT,0001638290
MCHB,0001518715
MCRI,0000907242
MCS,0000062234
MCW,0001853513
MCY,0000064996
MD,0000893949
MDGL,0001157601
MDV,0001645873
MDWD,0001593984
MDXG,0001376339
MEC,0001766368
MED,0000910329
MEI,0000065270
METC,0001687187
MFA,0001055160
MFIN,0001000209
MG,0001436126
MGEE,0001161728
MGNI,0001595974
MGPI,0000835011
MGRC,0000752714
MGTX,0001735438
MGY,0001698990
MH,0001951070
MHO,0000799292
MIAX,0001438472
MIR,0001809987
MIRM,0001759425
MITK,0000807863
MITT,0001514281
MKTW,0001805651
MLAB,0000724004
MLKN,0000066382
MLP,0000063330
MLR,0000924822
MLYS,0001933414
MMI,0001578732
MMS,0001032220
MMSI,0000856982
MNKD,0000899460
MNPR,0001645469
MNRO,0000876427
MNSB,0001693577
MNTK,0001826600
MOD,0000067347
MOGA,0001410764
MOV,0000072573
MPAA,0000918251
MPB,0000879635
MPLT,0001770069
MPTI,0001902314
MPX,0001129155
MQ,0001522540
MRBK,0001750735
MRCY,0001049521
MRDN,0001437925
MRTN,0000799167
MRVI,0001823239
MRX,0001997464
MSBI,0001466026
MSEX,0000066004
MSGE,0001952073
MTH,0000833079
MTRN,0001104657
MTRX,0000866273
MTUS,0001598428
MTW,0000061986
MTX,0000891014
MUR,0000717423
MVBF,0001277902
MVIS,0000065770
MVST,0001760689
MWA,0001350593
MXCT,0001287098
MXL,0001288469
MYE,0000069488
MYFW,0001327607
MYGN,0000899923
MYO,0001369290
MYPS,0001823878
MYRG,0000700923
MZTI,0000057515
NABL,0001834488
NAGE,0001386570
NAT,0001000177
NATH,0000069733
NATL,0001974138
NATR,0000275053
NAVI,0001593538
NAVN,0001639723
NB,0001512228
NBBK,0001979330
NBHC,0001475841
NBN,0001096687
NBR,0001163739
NBTB,0000790359
NC,0000789933
NCMI,0001377630
NE,0001895262
NECB,0001847398
NEO,0001077183
NEOG,0000711377
NEON,0000087050
NESR,0001698514
NEWT,0001587987
NEXN,0001849396
NEXT,0001612720
NFBK,0001493225
NFE,0001749723
NG,0001173420
NGNE,0001404644
NGS,0001084991
NGVC,0001547459
NGVT,0001653477
NHC,0001047335
NHI,0000877860
NIC,0001174850
NJR,0000356309
NKSH,0000796534
NKTX,0001787400
NL,0000072162
NLOP,0001952976
NMAX,0002026478
NMIH,0001547903
NMRK,0001690680
NN,0001865631
NNE,0001923891
NNI,0001258602
NNOX,0001795251
NODK,0001681206
NOG,0001104485
NOVT,0001076930
NPB,0001336706
NPCE,0001528287
NPK,0000080172
NPKI,0000071829
NPO,0001164863
NPWR,0001845437
NRC,0000070487
NRDS,0001625278
NRDY,0001819404
NREF,0001786248
NRIM,0001163370
NRIX,0001549595
NSIT,0000932696
NSP,0001000753
NSSC,0000069633
NTB,0001653242
NTCT,0001078075
NTGR,0001122904
NTLA,0001652130
NTST,0001798100
NUS,0001021561
NUTX,0001479681
NUVB,0001811063
NUVL,0001861560
NVAX,0001000694
NVCR,0001645113
NVCT,0001875558
NVEC,0000724910
NVGS,0001581804
NVRI,0000045876
NVTS,0001821769
NWBI,0001471265
NWE,0001993004
NWFL,0001013272
NWN,0001733998
NWPX,0001001385
NX,0001423221
NXDR,0001846069
NXDT,0001356115
NXRT,0001620393
NXT,0001852131
NXXT,0001817004
OABI,0001846253
OBK,0001516912
OBT,0001754226
OCFC,0001004702
OCUL,0001393434
ODC,0000074046
OEC,0001609804
OFG,0001030469
OFIX,0000884624
OFLX,0001317945
OGS,0001587732
OI,0000812074
OII,0000073756
OIS,0001121484
OKLO,0001849056
OLMA,0001750284
OLP,0000712770
OLPX,0001868726
OM,0001484612
OMCL,0000926326
OMDA,0001611115
OMER,0001285819
ONB,0000707179
ONEW,0001772921
ONIT,0000873860
ONT,0001643615
OOMA,0001327688
OPAL,0001842279
OPBK,0001722010
OPCH,0001014739
OPFI,0001818502
OPK,0000944809
OPLN,0001395942
OPRT,0001538716
OPRX,0001448431
OPTU,0001702780
ORA,0001296445
ORC,0001518621
ORGO,0001661181
ORIC,0001796280
ORKA,0000907654
ORN,0001402829
ORRF,0000826154
OSBC,0000357173
OSCR,0001568651
OSG,0000874501
OSIS,0001039065
OSPN,0001044777
OSUR,0001116463
OSW,0001758488
OTTR,0001466593
OUST,0001816581
OUT,0001579877
OVBC,0000894671
OVLY,0001431567
OXM,0000075288
PACB,0001299130
PACK,0001712463
PACS,0002001184
PAGS,0001712807
PAHC,0001069899
PAL,0001998768
PAMT,0000798287
PANL,0001606909
PAR,0000708821
PARR,0000821483
PATK,0000076605
PAX,0001825570
PAYO,0001845815
PAYS,0001496443
PBF,0001534504
PBFS,0001769663
PBH,0001295947
PBI,0000078814
PBYI,0001401667
PCB,0001423869
PCRX,0001396814
PCT,0001830033
PCVX,0001649094
PCYO,0000276720
