date,ticker,open,high,low,close,volume,_errors
1997-11-07,VHI,-391.54,-391.54,-386.32,-386.32,5476,open below minimum: -391.54; high below minimum: -391.54; low below minimum: -386.32; close below minimum: -386.32
1997-11-10,VHI,-386.32,-396.76,-386.32,-396.76,13811,open below minimum: -386.32; high below minimum: -396.76; low below minimum: -386.32; close below minimum: -396.76
1997-11-11,VHI,-394.15,-394.15,-391.54,-391.54,1704,open below minimum: -394.15; high below minimum: -394.15; low below minimum: -391.54; close below minimum: -391.54
1997-11-12,VHI,-391.54,-391.54,-391.54,-391.54,5841,open below minimum: -391.54; high below minimum: -391.54; low below minimum: -391.54; close below minimum: -391.54
1997-11-13,VHI,-391.54,-394.15,-391.54,-391.54,426,open below minimum: -391.54; high below minimum: -394.15; low below minimum: -391.54; close below minimum: -391.54
1997-11-14,VHI,-396.76,-404.59,-396.76,-399.37,13203,open below minimum: -396.76; high below minimum: -404.59; low below minimum: -396.76; close below minimum: -399.37
1997-11-17,VHI,-394.15,-407.2,-394.15,-404.59,13203,open below minimum: -394.15; high below minimum: -407.2; low below minimum: -394.15; close below minimum: -404.59
1997-11-18,VHI,-404.59,-404.59,-401.98,-404.59,243,open below minimum: -404.59; high below minimum: -404.59; low below minimum: -401.98; close below minimum: -404.59
1997-11-19,VHI,-404.59,-407.2,-401.98,-407.2,852,open below minimum: -404.59; high below minimum: -407.2; low below minimum: -401.98; close below minimum: -407.2
1997-11-20,VHI,-404.59,-404.59,-404.59,-404.59,3042,open below minimum: -404.59; high below minimum: -404.59; low below minimum: -404.59; close below minimum: -404.59
1997-11-21,VHI,-409.81,-409.81,-396.76,-396.76,6693,open below minimum: -409.81; high below minimum: -409.81; low below minimum: -396.76; close below minimum: -396.76
1997-11-24,VHI,-396.76,-401.98,-396.76,-401.98,9431,open below minimum: -396.76; high below minimum: -401.98; low below minimum: -396.76; close below minimum: -401.98
1997-11-25,VHI,-401.98,-404.59,-401.98,-401.98,1278,open below minimum: -401.98; high below minimum: -404.59; low below minimum: -401.98; close below minimum: -401.98
1997-11-26,VHI,-404.59,-404.59,-396.76,-396.76,20139,open below minimum: -404.59; high below minimum: -404.59; low below minimum: -396.76; close below minimum: -396.76
1997-11-28,VHI,-401.98,-401.98,-396.76,-396.76,7727,open below minimum: -401.98; high below minimum: -401.98; low below minimum: -396.76; close below minimum: -396.76
1997-12-01,VHI,-401.98,-404.59,-396.76,-396.76,13994,open below minimum: -401.98; high below minimum: -404.59; low below minimum: -396.76; close below minimum: -396.76
1997-12-02,VHI,-396.76,-399.37,-391.54,-396.76,19591,open below minimum: -396.76; high below minimum: -399.37; low below minimum: -391.54; close below minimum: -396.76
1997-12-03,VHI,-391.54,-394.15,-391.54,-394.15,8031,open below minimum: -391.54; high below minimum: -394.15; low below minimum: -391.54; close below minimum: -394.15
1997-12-04,VHI,-391.54,-391.54,-391.54,-391.54,183,open below minimum: -391.54; high below minimum: -391.54; low below minimum: -391.54; close below minimum: -391.54
1997-12-05,VHI,-391.54,-394.15,-391.54,-394.15,548,open below minimum: -391.54; high below minimum: -394.15; low below minimum: -391.54; close below minimum: -394.15
1997-12-08,VHI,-394.15,-394.15,-391.54,-394.15,9248,open below minimum: -394.15; high below minimum: -394.15; low below minimum: -391.54; close below minimum: -394.15
1997-12-09,VHI,-394.15,-396.76,-391.54,-391.54,15880,open below minimum: -394.15; high below minimum: -396.76; low below minimum: -391.54; close below minimum: -391.54
1997-12-10,VHI,-393.64,-396.27,-388.39,-393.64,24033,open below minimum: -393.64; high below minimum: -396.27; low below minimum: -388.39; close below minimum: -393.64
1997-12-11,VHI,-393.64,-393.64,-393.64,-393.64,3346,open below minimum: -393.64; high below minimum: -393.64; low below minimum: -393.64; close below minimum: -393.64
1997-12-12,VHI,-393.64,-396.27,-393.64,-393.64,18496,open below minimum: -393.64; high below minimum: -396.27; low below minimum: -393.64; close below minimum: -393.64
1997-12-15,VHI,-393.64,-401.51,-393.64,-398.89,12229,open below minimum: -393.64; high below minimum: -401.51; low below minimum: -393.64; close below minimum: -398.89
1997-12-16,VHI,-398.89,-406.76,-398.89,-404.14,4867,open below minimum: -398.89; high below minimum: -406.76; low below minimum: -398.89; close below minimum: -404.14
1997-12-17,VHI,-406.76,-406.76,-401.51,-404.14,791,open below minimum: -406.76; high below minimum: -406.76; low below minimum: -401.51; close below minimum: -404.14
1997-12-18,VHI,-401.51,-401.51,-401.51,-401.51,3772,open below minimum: -401.51; high below minimum: -401.51; low below minimum: -401.51; close below minimum: -401.51
1997-12-19,VHI,-398.89,-401.51,-393.64,-396.27,16427,open below minimum: -398.89; high below minimum: -401.51; low below minimum: -393.64; close below minimum: -396.27
1997-12-22,VHI,-398.89,-398.89,-393.64,-396.27,8214,open below minimum: -398.89; high below minimum: -398.89; low below minimum: -393.64; close below minimum: -396.27
1997-12-23,VHI,-396.27,-396.27,-393.64,-393.64,4076,open below minimum: -396.27; high below minimum: -396.27; low below minimum: -393.64; close below minimum: -393.64
1997-12-24,VHI,-393.64,-393.64,-393.64,-393.64,0,open below minimum: -393.64; high below minimum: -393.64; low below minimum: -393.64; close below minimum: -393.64
1997-12-26,VHI,-393.64,-393.64,-393.64,-393.64,0,open below minimum: -393.64; high below minimum: -393.64; low below minimum: -393.64; close below minimum: -393.64
1997-12-29,VHI,-396.27,-396.27,-393.64,-396.27,2008,open below minimum: -396.27; high below minimum: -396.27; low below minimum: -393.64; close below minimum: -396.27
1997-12-30,VHI,-398.89,-401.51,-398.89,-398.89,2069,open below minimum: -398.89; high below minimum: -401.51; low below minimum: -398.89; close below minimum: -398.89
1997-12-31,VHI,-401.51,-401.51,-396.27,-396.27,3955,open below minimum: -401.51; high below minimum: -401.51; low below minimum: -396.27; close below minimum: -396.27
1998-01-02,VHI,-398.89,-401.51,-398.89,-401.51,608,open below minimum: -398.89; high below minimum: -401.51; low below minimum: -398.89; close below minimum: -401.51
1998-01-05,VHI,-398.89,-401.51,-396.27,-396.27,852,open below minimum: -398.89; high below minimum: -401.51; low below minimum: -396.27; close below minimum: -396.27
1998-01-06,VHI,-398.89,-398.89,-393.64,-393.64,5293,open below minimum: -398.89; high below minimum: -398.89; low below minimum: -393.64; close below minimum: -393.64
1998-01-07,VHI,-393.64,-398.89,-393.64,-396.27,5780,open below minimum: -393.64; high below minimum: -398.89; low below minimum: -393.64; close below minimum: -396.27
1998-01-08,VHI,-398.89,-398.89,-396.27,-396.27,243,open below minimum: -398.89; high below minimum: -398.89; low below minimum: -396.27; close below minimum: -396.27
1998-01-09,VHI,-396.27,-401.51,-396.27,-398.89,9248,open below minimum: -396.27; high below minimum: -401.51; low below minimum: -396.27; close below minimum: -398.89
1998-01-12,VHI,-398.89,-401.51,-396.27,-396.27,6997,open below minimum: -398.89; high below minimum: -401.51; low below minimum: -396.27; close below minimum: -396.27
1998-01-13,VHI,-398.89,-398.89,-388.39,-393.64,6388,open below minimum: -398.89; high below minimum: -398.89; low below minimum: -388.39; close below minimum: -393.64
1998-01-14,VHI,-398.89,-398.89,-398.89,-398.89,2251,open below minimum: -398.89; high below minimum: -398.89; low below minimum: -398.89; close below minimum: -398.89
1998-01-15,VHI,-398.89,-401.51,-398.89,-398.89,1156,open below minimum: -398.89; high below minimum: -401.51; low below minimum: -398.89; close below minimum: -398.89
1998-01-16,VHI,-401.51,-401.51,-398.89,-398.89,2251,open below minimum: -401.51; high below minimum: -401.51; low below minimum: -398.89; close below minimum: -398.89
1998-01-20,VHI,-401.51,-404.14,-401.51,-404.14,304,open below minimum: -401.51; high below minimum: -404.14; low below minimum: -401.51; close below minimum: -404.14
1998-01-21,VHI,-404.14,-412.01,-404.14,-409.39,5476,open below minimum: -404.14; high below minimum: -412.01; low below minimum: -404.14; close below minimum: -409.39
1998-01-22,VHI,-409.39,-409.39,-406.76,-406.76,608,open below minimum: -409.39; high below minimum: -409.39; low below minimum: -406.76; close below minimum: -406.76
1998-01-23,VHI,-406.76,-412.01,-406.76,-409.39,3833,open below minimum: -406.76; high below minimum: -412.01; low below minimum: -406.76; close below minimum: -409.39
1998-01-26,VHI,-414.64,-417.26,-414.64,-417.26,6449,open below minimum: -414.64; high below minimum: -417.26; low below minimum: -414.64; close below minimum: -417.26
1998-01-27,VHI,-414.64,-414.64,-412.01,-412.01,2190,open below minimum: -414.64; high below minimum: -414.64; low below minimum: -412.01; close below minimum: -412.01
1998-01-28,VHI,-422.51,-422.51,-412.01,-419.88,11438,open below minimum: -422.51; high below minimum: -422.51; low below minimum: -412.01; close below minimum: -419.88
1998-01-29,VHI,-419.88,-425.13,-412.01,-412.01,7484,open below minimum: -419.88; high below minimum: -425.13; low below minimum: -412.01; close below minimum: -412.01
1998-01-30,VHI,-412.01,-417.26,-412.01,-417.26,2616,open below minimum: -412.01; high below minimum: -417.26; low below minimum: -412.01; close below minimum: -417.26
1998-02-02,VHI,-417.26,-417.26,-414.64,-414.64,1399,open below minimum: -417.26; high below minimum: -417.26; low below minimum: -414.64; close below minimum: -414.64
1998-02-03,VHI,-414.64,-414.64,-414.64,-414.64,730,open below minimum: -414.64; high below minimum: -414.64; low below minimum: -414.64; close below minimum: -414.64
1998-02-04,VHI,-409.39,-414.64,-409.39,-412.01,4867,open below minimum: -409.39; high below minimum: -414.64; low below minimum: -409.39; close below minimum: -412.01
1998-02-05,VHI,-412.01,-414.64,-409.39,-412.01,8335,open below minimum: -412.01; high below minimum: -414.64; low below minimum: -409.39; close below minimum: -412.01
1998-02-06,VHI,-412.01,-412.01,-412.01,-412.01,608,open below minimum: -412.01; high below minimum: -412.01; low below minimum: -412.01; close below minimum: -412.01
1998-02-09,VHI,-417.26,-417.26,-412.01,-412.01,7179,open below minimum: -417.26; high below minimum: -417.26; low below minimum: -412.01; close below minimum: -412.01
1998-02-10,VHI,-412.01,-414.64,-409.39,-412.01,5658,open below minimum: -412.01; high below minimum: -414.64; low below minimum: -409.39; close below minimum: -412.01
