date,ticker,open,high,low,close,volume,_errors
2021-05-20,DEC,0.0,0.0,0.0,0.0,6200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-21,DEC,0.0,0.0,0.0,0.0,369600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-24,DEC,0.0,0.0,0.0,0.0,6600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-25,DEC,0.0,0.0,0.0,0.0,33500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-26,DEC,0.0,0.0,0.0,0.0,43400,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-27,DEC,0.0,0.0,0.0,0.0,49600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-28,DEC,0.0,0.0,0.0,0.0,39100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-01,DEC,0.0,0.0,0.0,0.0,5500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-02,DEC,0.0,0.0,0.0,0.0,25200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-03,DEC,0.0,0.0,0.0,0.0,7000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-04,DEC,0.0,0.0,0.0,0.0,15600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-07,DEC,0.0,0.0,0.0,0.0,4400,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-08,DEC,0.0,0.0,0.0,0.0,9200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-09,DEC,0.0,0.0,0.0,0.0,21900,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-10,DEC,0.0,0.0,0.0,0.0,44500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-11,DEC,0.0,0.0,0.0,0.0,500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-06-14,DEC,0.0,0.0,0.0,0.0,17300,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
